service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,events_and_status,operating_days,duty
27490,1,1,1,1,1,0,0,20260301,20260418,,muwtf,
27494,0,0,0,0,0,0,0,20260301,20260418,PHoff,muwtf,
27495,1,1,1,1,1,0,0,20260301,20260418,PHon,muwtf,
27496,0,0,0,0,0,0,0,20260301,20260418,R2off,muwtf,60-21
27497,1,1,1,1,1,0,0,20260301,20260418,R2on,muwtf,60-21
27498,0,0,0,0,0,0,0,20260301,20260418,R3off,muwtf,1L-12
27499,1,1,1,1,1,0,0,20260301,20260418,R3on,muwtf,1L-12
27500,0,0,0,0,0,0,0,20260301,20260418,RAoff,muwtf,53-01
27501,1,1,1,1,1,0,0,20260301,20260418,RAon,muwtf,53-01
27502,0,0,0,0,0,0,0,20260301,20260418,RDoff,muwtf,7-04
27505,0,0,0,0,0,0,0,20260301,20260418,RFoff,muwtf,88A-01
27508,0,0,0,0,0,0,0,20260301,20260418,RGoff,muwtf,88A-02
27509,0,0,0,0,0,0,0,20260301,20260418,RGoff,muwtf,54-07
27511,1,1,1,1,1,0,0,20260301,20260418,RGon,muwtf,88A-02
27515,0,0,0,0,0,0,0,20260301,20260418,RIoff,muwtf,A-09
27516,1,1,1,1,1,0,0,20260301,20260418,RIon,muwtf,A-09
27517,0,0,0,0,0,0,0,20260301,20260418,RLoff,muwtf,54-01
27518,0,0,0,0,0,0,0,20260301,20260418,RLoff,muwtf,51-09
27519,1,1,1,1,1,0,0,20260301,20260418,RLon,muwtf,51-09
27520,1,1,1,1,1,0,0,20260301,20260418,RLon,muwtf,54-01
27521,0,0,0,0,0,0,0,20260301,20260418,RNoff,muwtf,W-05
27524,0,0,0,0,0,0,0,20260301,20260418,ROoff,muwtf,40-08
27527,0,0,0,0,0,0,0,20260301,20260418,RQoff,muwtf,60-23
27528,0,0,0,0,0,0,0,20260301,20260418,RQoff,muwtf,60-04
27533,0,0,0,0,0,0,0,20260301,20260418,RRoff,muwtf,123-02
27536,0,0,0,0,0,0,0,20260301,20260418,RUoff,muwtf,E-01
27537,0,0,0,0,0,0,0,20260301,20260418,RUoff,muwtf,42-10
27538,0,0,0,0,0,0,0,20260301,20260418,RUoff,muwtf,E-02
27539,0,0,0,0,0,0,0,20260301,20260418,RUoff,muwtf,42-15
27542,1,1,1,1,1,0,0,20260301,20260418,RUon,muwtf,42-10
27543,1,1,1,1,1,0,0,20260301,20260418,RUon,muwtf,42-15
27546,0,0,0,0,0,0,0,20260301,20260418,RVoff,muwtf,10-01
27547,0,0,0,0,0,0,0,20260301,20260418,RVoff,muwtf,10-02
27548,0,0,0,0,0,0,0,20260301,20260418,RVoff,muwtf,PH6-01
27549,0,0,0,0,0,0,0,20260301,20260418,RVoff,muwtf,W-11
27550,1,1,1,1,1,0,0,20260301,20260418,RVon,muwtf,PH6-01
27551,1,1,1,1,1,0,0,20260301,20260418,RVon,muwtf,10-01
27552,1,1,1,1,1,0,0,20260301,20260418,RVon,muwtf,10-02
27553,1,1,1,1,1,0,0,20260301,20260418,RVon,muwtf,W-11
27555,1,1,1,1,1,0,0,20260419,20260530,,muwtf,
27559,0,0,0,0,0,0,0,20260419,20260530,PHoff,muwtf,
27560,1,1,1,1,1,0,0,20260419,20260530,PHon,muwtf,
27561,0,0,0,0,0,0,0,20260419,20260530,R2off,muwtf,60-21
27562,1,1,1,1,1,0,0,20260419,20260530,R2on,muwtf,60-21
27563,0,0,0,0,0,0,0,20260419,20260530,R3off,muwtf,1L-12
27564,1,1,1,1,1,0,0,20260419,20260530,R3on,muwtf,1L-12
27565,0,0,0,0,0,0,0,20260419,20260530,RAoff,muwtf,53-01
