service_id,date,exception_type
27570,20260424,1
27570,20260430,1
27556,20260525,1
27558,20260525,1
27561,20260529,1
27563,20260529,1
27565,20260529,1
27567,20260529,1
27570,20260529,1
27573,20260529,1
27574,20260529,1
27580,20260529,1
27582,20260529,1
27583,20260529,1
27586,20260529,1
27589,20260529,1
27592,20260529,1
27593,20260529,1
27598,20260529,1
27601,20260529,1
27602,20260529,1
27603,20260529,1
27604,20260529,1
27611,20260529,1
27612,20260529,1
27613,20260529,1
27614,20260529,1
27624,20260601,1
27683,20260601,1
27624,20260602,1
27683,20260602,1
27684,20260602,1
27685,20260602,1
27688,20260602,1
27624,20260603,1
27683,20260603,1
27684,20260603,1
27685,20260603,1
27686,20260603,1
27687,20260603,1
27688,20260603,1
27624,20260604,1
27683,20260604,1
27684,20260604,1
27685,20260604,1
27686,20260604,1
27687,20260604,1
27688,20260604,1
27624,20260605,1
27683,20260605,1
27684,20260605,1
27685,20260605,1
27686,20260605,1
27687,20260605,1
27688,20260605,1
27624,20260608,1
27683,20260608,1
27684,20260608,1
27685,20260608,1
27686,20260608,1
27687,20260608,1
27688,20260608,1
27624,20260609,1
27683,20260609,1
27684,20260609,1
27685,20260609,1
27686,20260609,1
27687,20260609,1
27688,20260609,1
27624,20260610,1
27683,20260610,1
27684,20260610,1
27685,20260610,1
27686,20260610,1
27687,20260610,1
27688,20260610,1
27622,20260611,1
27624,20260612,1
27683,20260612,1
27684,20260612,1
27685,20260612,1
27686,20260612,1
27687,20260612,1
27688,20260612,1
27624,20260615,1
27683,20260615,1
27684,20260615,1
27685,20260615,1
27686,20260615,1
27687,20260615,1
27688,20260615,1
27624,20260616,1
27683,20260616,1
27684,20260616,1
27685,20260616,1
27686,20260616,1
27687,20260616,1
27688,20260616,1
27624,20260617,1
27683,20260617,1
27684,20260617,1
27685,20260617,1
27686,20260617,1
27687,20260617,1
27688,20260617,1
27624,20260618,1
27683,20260618,1
27684,20260618,1
27685,20260618,1
27686,20260618,1
27687,20260618,1
27688,20260618,1
27683,20260619,1
27684,20260619,1
27685,20260619,1
27686,20260619,1
27687,20260619,1
27688,20260619,1
27624,20260622,1
27683,20260622,1
27684,20260622,1
27685,20260622,1
27686,20260622,1
27687,20260622,1
27688,20260622,1
27624,20260623,1
27683,20260623,1
27684,20260623,1
27685,20260623,1
27686,20260623,1
27687,20260623,1
27688,20260623,1
27624,20260624,1
27683,20260624,1
27684,20260624,1
27685,20260624,1
27686,20260624,1
27687,20260624,1
27688,20260624,1
27624,20260625,1
27683,20260625,1
27684,20260625,1
27685,20260625,1
27686,20260625,1
27687,20260625,1
27688,20260625,1
27624,20260626,1
27683,20260626,1
27684,20260626,1
27685,20260626,1
27686,20260626,1
27687,20260626,1
27688,20260626,1
27624,20260629,1
27683,20260629,1
27684,20260629,1
27685,20260629,1
27686,20260629,1
27687,20260629,1
27688,20260629,1
27624,20260630,1
27683,20260630,1
27684,20260630,1
27685,20260630,1
27686,20260630,1
27687,20260630,1
27688,20260630,1
27624,20260701,1
27683,20260701,1
27684,20260701,1
27685,20260701,1
27686,20260701,1
27687,20260701,1
27688,20260701,1
27624,20260702,1
27683,20260702,1
27684,20260702,1
27685,20260702,1
27686,20260702,1
27687,20260702,1
27688,20260702,1
27621,20260703,1
27624,20260706,1
27683,20260706,1
27684,20260706,1
27685,20260706,1
27686,20260706,1
27687,20260706,1
27624,20260707,1
27683,20260707,1
27684,20260707,1
27685,20260707,1
27686,20260707,1
27687,20260707,1
27624,20260708,1
27683,20260708,1
27686,20260708,1
27687,20260708,1
27624,20260709,1
27683,20260709,1
27624,20260710,1
27683,20260710,1
27624,20260713,1
27624,20260714,1
27624,20260715,1
27624,20260716,1
27624,20260717,1
27624,20260720,1
27624,20260721,1
27624,20260722,1
27624,20260723,1
27624,20260724,1
27624,20260727,1
27624,20260728,1
27624,20260729,1
27624,20260730,1
27624,20260731,1
27624,20260803,1
27626,20260803,1
27628,20260803,1
27630,20260803,1
27632,20260803,1
