route_id,route_short_name,route_long_name,route_desc,route_type,agency_id,route_color,route_text_color
1,1,Kaimuki-Kalihi,,3,TheBus,,
2,2,School-Waikiki-Kahala,,3,TheBus,,
3,3,Kaimuki-Salt Lake,,3,TheBus,,
4,4,Nuuanu-Punahou-Mccully,,3,TheBus,,
5,5,Ala Moana-Manoa,,3,TheBus,,
6,6,Pauoa-Woodlawn,,3,TheBus,,
7,7,Kalihi Valley-Kahala,,3,TheBus,,
8,8,Waikiki-Ala Moana,,3,TheBus,,
10,10,Kalihi-Alewa Heights,,3,TheBus,,
13,14,St. Louis-Maunalani,,3,TheBus,,
25,32,Kalihi Transit Center-Foster Village-Pearlridge,,3,TheBus,,
26,40,Honolulu-Makaha,,3,TheBus,,
27,41,Kapolei-Ewa Beach,,3,TheBus,,
28,42,Ewa Beach-Waikiki,,3,TheBus,,
29,43,Pearl Highlands-Waipahu,,3,TheBus,,
30,44,Keoneae UH West Oahu-Hoaeae West Loch,,3,TheBus,,
32,53,Honolulu-Pacific Palisades,,3,TheBus,,
33,54,Honolulu-Pearl City,,3,TheBus,,
39,65,Honolulu-Kaneohe-Ahuimanu,,3,TheBus,,
40,C,CountryExpress! C,,3,TheBus,,
48,80,Hawaii Kai Park & Ride Express,,3,TheBus,,
49,81,Waipahu Express,,3,TheBus,,
50,82,Hawaii Kai Park & Ride Express,,3,TheBus,,
51,83,Wahiawa Town Express,,3,TheBus,,
52,84,Mililani Express-North,,3,TheBus,,
53,85,Windward Express-Kaneohe,,3,TheBus,,
55,88,Kahaluu-Ahuimanu Express,,3,TheBus,,
56,89,Waimanalo-Kailua Express,,3,TheBus,,
57,90,Pearl City Express,,3,TheBus,,
58,91,Ewa Beach Express,,3,TheBus,,
59,92,Makakilo City Express,,3,TheBus,,
60,93,Waianae Coast Express-CBD,,3,TheBus,,
62,96,Waipio Gentry Express,,3,TheBus,,
63,97,Village Park Express,,3,TheBus,,
64,98,Wahiawa-Mililani Park & Ride,,3,TheBus,,
71,84A,Mililani Express-South,,3,TheBus,,
74,88A,North Shore Express,,3,TheBus,,
76,98A,Express-Downtown,,3,TheBus,,
77,W1,Waipahu via Farrington Express,,3,TheBus,,
78,W2,Waipahu via Paiwa Express,,3,TheBus,,
79,W3,Kalihi via School Street Express,,3,TheBus,,
81,401,Waianae Valley,,3,TheBus,,
82,402,Lualualei Homestead,,3,TheBus,,
83,403,Nanakuli-Maili-Waianae,,3,TheBus,,
84,411,Makakilo Heights,,3,TheBus,,
86,413,Campbell Industrial Park,,3,TheBus,,
87,415,Kapolei Transit Center-Kalaeloa,,3,TheBus,,
89,433,Waipahu-Waikele Shopping Center,,3,TheBus,,
102,1L,Hawaii Kai-Aloha Stadium Limited,,3,TheBus,,
103,23,Kahala-Sea Life Park,,3,TheBus,,
107,234,Kahala Mall-Waialae Nui,,3,TheBus,,
109,E,CountryExpress! E,,3,TheBus,,
112,414,Palahia-Makakilo-Kapolei,,3,TheBus,,
113,501,Mililani Mauka,,3,TheBus,,
114,503,Mililani-Launani Valley,,3,TheBus,,
115,504,Mililani South,,3,TheBus,,
117,94,Villages of Kapolei,,3,TheBus,,
118,PH1,Waianae Coast-Pearl Harbor Express,,3,TheBus,,
119,PH2,Mililani Town-Pearl Harbor Express,,3,TheBus,,
120,PH3,Wahiawa Heights-Pearl Harbor Express,,3,TheBus,,
121,PH4,Kailua-Kahaluu-Pearl Harbor Express,,3,TheBus,,
123,PH6,Hawaii Kai-Pearl Harbor Express,,3,TheBus,,
127,13,Liliha-Waikiki-University,,3,TheBus,,
129,52,Honolulu-Mililani-Haleiwa,,3,TheBus,,
131,51,Honolulu-Wahiawa,,3,TheBus,,
134,416,Kapolei Circulator,,3,TheBus,,
135,99,Wahiawa-Mililani-Waipahu-Kapolei,,3,TheBus,,
